gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729173020549144000,0.059648,0.05888,0.532992,214.953472,879.075072,901.704448,1584.075264,1609.736448
0000000001,1,1729173020649489000,0.064256,0.062976,0.574976,145.619968,854.283776,875.307008,1629.843456,1651.719168
0000000002,1,1729173020749637600,0.171008,0.169216,0.852224,75.226112,815.072768,837.32864,1906.264576,1928.827392
0000000003,1,1729173020849946400,0.041216,0.040192,0.607744,161.029376,1513.817856,1535.235584,2314.239744,2337.022208
0000000004,1,1729173020950073000,0.0448,0.039424,0.433408,92.224,1511.906304,1533.491456,2396.112896,2418.533888
0000000005,1,1729173021050143200,0.036864,0.036096,0.539648,564.236288,2351.683328,2373.123328,3428.841728,3451.553792
0000000006,1,1729173021150338600,0.0448,0.044032,0.453632,493.215488,2343.950336,2365.257984,3511.369984,3533.517056
0000000007,1,1729173021250578400,0.052992,0.051968,0.713984,419.35232,2399.565568,2420.792064,3728.337664,3751.9808
0000000008,1,1729173021350753300,0.026112,0.025344,0.599296,349.80736,2393.82144,2414.855936,3804.127488,3826.676736
0000000009,1,1729173021450798800,0.025856,0.025344,0.491264,283.525888,2391.031552,2412.405248,3945.273856,3968.069632
0000000010,1,1729173021550849300,0.033792,0.033536,1.424128,708.026112,2501.586432,2522.90304,4498.662144,4521.361664
0000000011,1,1729173021651080400,0.060416,0.05888,0.480512,1005.512704,3095.81056,3117.101824,5209.024512,5231.570688
0000000012,1,1729173021751219500,0.05504,0.053248,0.720896,965.265408,3411.308544,3432.592896,5478.273792,5501.202944
0000000013,1,1729173021851533800,0.041472,0.040704,0.539648,894.441216,3556.486912,3577.880064,5687.933696,5710.750208
0000000014,1,1729173021951684000,0.102656,0.101376,0.560128,824.354048,3586.8608,3608.11904,5781.74848,5804.605184
0000000015,1,1729173022051962000,0.074752,0.073472,0.670208,752.314368,3585.983232,3607.262976,5862.402048,5885.416192
0000000016,1,1729173022152157700,0.049664,0.048128,0.634368,721.638144,3614.830848,3636.121344,6070.814208,6093.59104
0000000017,1,1729173022252331800,0.050432,0.049408,0.6208,652.367616,3570.787584,3592.115712,6117.663488,6140.615168
0000000018,1,1729173022352544800,0.059136,0.058112,0.570368,616.3392,3718.758656,3740.048128,6510.187776,6533.04576
0000000019,1,1729173022452644000,0.040448,0.039424,1.219328,692.562688,3709.308416,3730.7328,6588.03712,6610.934784
0000000020,1,1729173022552930600,0.041728,0.04096,0.437504,769.418752,3740.927744,3762.287104,6823.474176,6845.854464
0000000021,1,1729173022653023500,0.051456,0.050176,0.508928,872.121088,3912.37888,3933.726208,7296.0256,7318.855168
0000000022,1,1729173022753189400,0.040704,0.03968,0.509696,1161.578496,4606.881792,4627.668224,8010.408448,8033.402368
0000000023,1,1729173022853458000,0.044544,0.043264,0.511488,1109.644032,5136.046336,5157.7344,8414.302976,8435.905536
0000000024,1,1729173022953589500,0.043776,0.042752,0.473856,1126.94784,5561.950208,5583.10784,8740.577024,8763.546624
0000000025,1,1729173023053915100,0.046592,0.045568,0.443392,1064.699904,5610.565376,5631.67104,8919.634176,8942.659328
0000000026,1,1729173023154824200,0.04352,0.042752,0.689664,1003.4496,5925.30816,5946.458112,9324.745728,9347.52768
0000000027,1,1729173023255037700,0.046848,0.04608,0.466944,957.468416,5881.978112,5903.33184,9362.736896,9385.580544
0000000028,1,1729173023355245600,0.042496,0.041216,0.504576,920.739072,6036.415232,6058.541312,9676.184064,9698.959872
0000000029,1,1729173023455519000,0.054016,0.05248,0.539904,999.847424,6073.661696,6094.953472,9798.585856,9821.1712
0000000030,1,1729173023555553300,0.040192,0.038912,0.655872,1092.588544,6169.575424,6190.477056,9996.620032,10019.324416
0000000031,1,1729173023655792600,0.040704,0.03968,1.676544,1121.65632,6482.447616,6504.036608,10428.888832,10451.63264
0000000032,1,1729173023756022500,0.045312,0.044288,0.438272,1202.199808,6487.131136,6508.502784,10511.71328,10534.381312
0000000033,1,1729173023856330800,0.036608,0.035584,0.463104,1333.752064,6604.244224,6625.55136,11036.276992,11059.012608
0000000034,1,1729173023956615200,0.041728,0.040704,0.596992,1709.225216,7058.336768,7079.723008,11462.74176,11485.529088
0000000035,1,1729173024056841700,0.041728,0.040704,0.511744,1796.712192,7348.43776,7369.624576,11691.560448,11714.450944
0000000036,1,1729173024157060000,0.043008,0.041984,0.464896,2032.386816,8036.183808,8059.548416,12119.04256,12141.98016
0000000037,1,1729173024257318400,0.057088,0.056064,0.643584,2065.876992,8467.433984,8488.7744,12328.462336,12351.279616
0000000038,1,1729173024357447700,0.039168,0.038144,0.430848,2003.692544,8483.521792,8504.209664,12381.6512,12404.700928
0000000039,1,1729173024459000000,0.018176,0.017664,0.226048,1965.761536,8606.845696,8628.110592,12516.487424,12539.400448
0000000040,1,1729173024558444000,0.03712,0.032256,0.576512,1917.87136,8751.022592,8772.561152,12805.606144,12828.538112
0000000041,1,1729173024658885600,0.07296,0.071936,1.560576,1969.1584,8986.550784,9007.789824,12884.99712,12934.772224
0000000042,1,1729173024759012400,0.041472,0.040192,0.54016,1898.194176,8943.987968,8965.294592,12913.016832,12935.133184
0000000043,1,1729173024859028500,0.038144,0.037632,0.406784,1988.042496,9029.094656,9050.453248,13131.620352,13154.31808
0000000044,1,1729173024959193900,0.058624,0.056576,0.749568,1930.735872,9420.274944,9441.608448,13288.003584,13310.966528
0000000045,1,1729173025059338500,0.043776,0.04224,0.595456,1883.634176,9378.880768,9399.96288,13400.428288,13423.896832
0000000046,1,1729173025159432200,0.042496,0.041728,0.663552,1838.102528,9375.866112,9397.234176,13505.63584,13528.233984
0000000047,1,1729173025259588400,0.03968,0.038656,0.560384,1957.335808,9402.520832,9423.773952,13644.566528,13667.473152
0000000048,1,1729173025359863600,0.03968,0.038656,0.429824,1884.986624,9538.70336,9560.04736,13819.340032,13842.339584
0000000049,1,1729173025459895600,0.039424,0.038656,0.482816,2073.582848,9544.530688,9565.81376,13980.57472,14003.508224
0000000050,1,1729173025560020200,0.0448,0.043776,0.423424,2151.637248,9573.830656,9594.981632,14334.777088,14357.44768
0000000051,1,1729173025660190200,0.036608,0.035584,1.097472,2233.152256,9558.599168,9579.67744,14394.28864,14416.95488
0000000052,1,1729173025760386600,0.040704,0.03968,0.43904,2258.137856,9672.786176,9694.765312,14618.564096,14641.081088
