gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729174880917976600,0.092672,0.093184,0.54784,224.370688,960.423936,982.160896,1707.0272,1730.946304
0000000001,1,1729174881018152400,0.08576,0.08704,0.645376,152.097792,948.242432,969.895168,1831.700224,1854.255616
0000000002,1,1729174881118446800,0.059392,0.059904,0.421376,108.03456,964.949504,988.220416,2055.260928,2078.203648
0000000003,1,1729174881218441500,0.065792,0.066816,0.510464,220.10112,1645.731584,1669.899776,2541.018624,2563.854848
0000000004,1,1729174881318599400,0.044544,0.045568,0.732672,157.981184,1673.3568,1694.235648,2626.018816,2649.20448
0000000005,1,1729174881418880800,0.044544,0.045312,0.386816,575.157248,2091.154176,2112.6272,3406.417664,3429.99296
0000000006,1,1729174881519115300,0.033792,0.034304,0.483328,603.871232,2552.977152,2575.282432,3876.865792,3899.98336
0000000007,1,1729174881619328300,0.056576,0.057856,0.600576,531.13728,2559.546112,2580.866304,3950.055424,3973.209088
0000000008,1,1729174881719455700,0.043776,0.0448,0.545792,459.254784,2563.388416,2584.737024,4026.961152,4049.824768
0000000009,1,1729174881819704600,0.060928,0.062208,1.915904,384.983552,2572.350976,2593.410816,4100.37248,4123.077376
0000000010,1,1729174881919884300,0.042496,0.04352,0.58496,692.21632,2605.236992,2626.533888,4498.623488,4521.714944
0000000011,1,1729174882020072700,0.039424,0.040704,0.431104,873.09056,2914.307584,2935.849472,4902.693888,4924.814336
0000000012,1,1729174882120325600,0.050944,0.051712,0.81792,1031.468032,3046.99392,3068.25856,5303.848704,5326.528512
0000000013,1,1729174882220434700,0.067328,0.072448,0.484608,1005.064704,3752.483584,3773.81504,5836.603648,5859.364864
0000000014,1,1729174882320468500,0.047616,0.048384,0.544256,931.757312,3711.631616,3733.0368,5906.781952,5928.93952
0000000015,1,1729174882420772600,0.044032,0.045312,0.496384,858.649088,3668.458752,3689.76768,5944.804352,5967.827456
0000000016,1,1729174882520772900,0.050688,0.051968,0.54784,788.094464,3670.001408,3691.350784,6018.89152,6044.528128
0000000017,1,1729174882620821500,0.041472,0.04224,0.447232,727.057152,3816.315904,3837.662208,6308.62848,6331.48672
0000000018,1,1729174882721014800,0.03456,0.035584,0.38656,695.157248,3776.092416,3798.091264,6439.19488,6462.015744
0000000019,1,1729174882821267700,0.043776,0.0448,0.409856,715.361536,3814.108416,3835.392,6644.75136,6667.576576
0000000020,1,1729174882921526500,0.060928,0.062208,0.598016,827.28448,4019.753216,4041.214464,7043.462656,7066.435584
0000000021,1,1729174883021780000,0.038912,0.039936,0.53248,904.601856,4075.188224,4096.331264,7218.71744,7241.632
0000000022,1,1729174883121905700,0.046848,0.047616,0.388096,833.961984,4062.583808,4083.929856,7305.009152,7328.651264
0000000023,1,1729174883222079200,0.047104,0.048384,0.692224,1198.81344,4578.032128,4598.889472,8054.478336,8077.348352
0000000024,1,1729174883324386300,0.056576,0.0576,0.615168,1227.614976,5348.675584,5370.161408,8610.57536,8633.302272
0000000025,1,1729174883422843100,0.03584,0.036608,0.515072,1179.150336,5534.32576,5555.542784,8809.314304,8832.109312
0000000026,1,1729174883523126500,0.069376,0.070656,0.4864,1109.737472,5693.945088,5715.289088,9133.952768,9156.797696
0000000027,1,1729174883623371500,0.035584,0.036352,0.639744,1205.910528,5869.2992,5890.58432,9465.436416,9488.404224
0000000028,1,1729174883723543300,0.038912,0.040704,0.505088,1238.004736,5929.318144,5951.971328,9622.648064,9645.520384
0000000029,1,1729174883823896000,0.041472,0.042496,0.525824,1203.881984,5945.697024,5967.01824,9718.317312,9741.063168
0000000030,1,1729174883924135200,0.050432,0.05248,0.680704,1130.144256,6076.653568,6097.953792,9924.874496,9946.707456
0000000031,1,1729174884024384500,0.040192,0.041216,0.51968,1170.169856,6490.61376,6512.142848,10353.723648,10376.670976
0000000032,1,1729174884124627200,0.03584,0.036864,0.563968,1251.342592,6525.010688,6546.472448,10602.587136,10624.832512
0000000033,1,1729174884224878800,0.038656,0.039936,0.401664,1321.314304,6568.20736,6591.327744,10846.4704,10869.554176
0000000034,1,1729174884325121500,0.03584,0.03712,0.424448,1399.438592,6564.241152,6585.48096,10923.28832,10948.103936
0000000035,1,1729174884425235700,0.034304,0.03584,0.59904,1484.440576,6655.151872,6676.345856,11126.98368,11149.686016
0000000036,1,1729174884525382700,0.040448,0.041728,0.567296,1695.925504,7088.472576,7109.833728,11534.278144,11557.11872
0000000037,1,1729174884625503000,0.051456,0.052224,0.60416,1912.704768,7708.913408,7730.33088,11913.84832,11936.97024
0000000038,1,1729174884725831200,0.040448,0.041728,0.519936,1851.254272,7704.277504,7725.443328,11953.766656,11976.87168
0000000039,1,1729174884826163200,0.036096,0.03712,0.537856,1860.467968,7937.74208,7959.541504,12112.843008,12136.386816
0000000040,1,1729174884926523600,0.04608,0.04736,1.348864,1800.220928,7985.42464,8006.968832,12164.73728,12186.027264
0000000041,1,1729174885026943700,0.031488,0.032512,0.731392,1956.936192,8566.70848,8588.207104,12514.25792,12537.293568
0000000042,1,1729174885127057200,0.045312,0.04608,0.516608,2084.145664,8908.03072,8928.93312,12886.111232,12910.753792
0000000043,1,1729174885227109600,0.04864,0.049664,0.497408,2191.68128,8954.868992,8976.40448,13011.949056,13034.687744
0000000044,1,1729174885327385300,0.045568,0.046336,0.67712,2121.225216,9106.948608,9128.116736,13165.244928,13188.03712
0000000045,1,1729174885427513900,0.041984,0.043264,2.802432,2072.952576,9100.797952,9121.735168,13257.83296,13280.61952
0000000046,1,1729174885527926500,0.041216,0.04224,0.462848,1990.60992,9222.892032,9244.124928,13417.220864,13440.932096
0000000047,1,1729174885628142300,0.040448,0.041728,0.66688,1979.716352,9233.290752,9254.614528,13474.798336,13497.517312
0000000048,1,1729174885728315400,0.037376,0.0384,0.481024,1921.374464,9543.66848,9564.946944,13659.23072,13684.355584
0000000049,1,1729174885828625400,0.038144,0.039168,0.458752,1873.846016,9513.7024,9535.344384,13817.674752,13840.510464
0000000050,1,1729174885929766100,0.03456,0.035584,0.555776,1933.112832,9641.48224,9662.707712,13975.029504,13998.00192
0000000051,1,1729174886029928400,0.038912,0.040192,0.471552,2006.189824,9646.341888,9667.322368,14245.550848,14268.531968
0000000052,1,1729174886130140700,0.068608,0.069888,2.966528,2215.6608,9655.212032,9677.103616,14534.199296,14557.630208
0000000053,1,1729174886230874400,0.03456,0.035584,0.430592,2300.531712,9637.442816,9658.738176,14629.495808,14652.440576
0000000054,1,1729174886331186700,0.044544,0.045568,0.595456,2229.92896,9757.189888,9778.4448,14815.228672,14838.06592
0000000055,1,1729174886431405600,0.039936,0.045824,0.589568,2293.515776,9730.132992,9752.124672,14946.186496,14969.220864
0000000056,1,1729174886531505400,0.035072,0.03584,0.65024,2611.436544,9793.41824,9814.74176,15263.251456,15286.08896
0000000057,1,1729174886631804400,0.04864,0.049664,0.42752,2625.683968,10076.136192,10097.457152,15534.458368,15557.6512
0000000058,1,1729174886731939000,0.036864,0.04352,1.158912,2798.413824,10374.9696,10395.85664,15713.952256,15736.899072
0000000059,1,1729174886832025300,0.040704,0.041472,0.461056,2725.520896,10389.56288,10410.864384,15942.085888,15965.28768
0000000060,1,1729174886932209400,0.030208,0.030976,0.637952,2775.139584,10361.074688,10382.274048,16066.126336,16089.199872
0000000061,1,1729174887032473600,0.043264,0.044288,0.464384,3003.185408,10556.955648,10578.125056,16302.071552,16325.146112
0000000062,1,1729174887132495400,0.04352,0.044544,0.603136,3095.928832,10589.423872,10610.94528,16665.207552,16687.896576
0000000063,1,1729174887232782800,0.058624,0.059904,0.466176,3184.576256,10577.188864,10598.435328,16712.068864,16734.750208
0000000064,1,1729174887333011500,0.047872,0.048896,0.507648,3113.92384,10702.615808,10723.855872,16852.489728,16875.523328
0000000065,1,1729174887433037800,0.041216,0.041984,0.533248,3145.245184,10829.938176,10851.1936,17008.089856,17030.83648
0000000066,1,1729174887533224400,0.041728,0.042496,0.57856,3184.5632,11216.246784,11237.599232,17163.376384,17186.321664
0000000067,1,1729174887633356300,0.038656,0.039936,0.563712,3283.442944,11542.279936,11563.702016,17394.471424,17417.481472
0000000068,1,1729174887733612300,0.040704,0.043264,0.492288,3263.266304,11715.7952,11736.781824,17456.089856,17479.128064
0000000069,1,1729174887833878800,0.035328,0.036352,0.487424,3423.167232,11858.292736,11879.589632,17536.228864,17559.450368
0000000070,1,1729174887934147000,0.045568,0.046848,0.503296,3368.412928,11997.893888,12019.204352,17594.146816,17617.369856
0000000071,1,1729174888034452200,0.050432,0.050944,0.690688,3301.4656,11971.143936,11992.452608,17650.533376,17673.57952
0000000072,1,1729174888134794000,0.058368,0.059392,0.476672,3261.360384,11950.476288,11971.691264,17684.100352,17706.83136
0000000073,1,1729174888234842400,0.04224,0.042752,0.400896,3217.81248,12056.385536,12077.616896,17739.4432,17762.079488
0000000074,1,1729174888335153200,0.036608,0.038656,0.516352,3147.7184,12036.260096,12057.531136,17795.881472,17818.997504
0000000075,1,1729174888435269600,0.044288,0.045312,0.726784,3113.309184,12011.227136,12032.615936,17833.099776,17856.144896
0000000076,1,1729174888535417300,0.043264,0.044544,0.439808,3116.2752,12336.455936,12357.944064,17926.547712,18229.155072
0000000077,1,1729174888635775500,0.037632,0.038656,0.518144,3087.774464,12318.424576,12339.707904,17971.459584,18129.161216
0000000078,1,1729174888735970800,0.046848,0.047872,0.505344,3187.335936,12445.788928,12467.058176,18052.282112,18075.70176
0000000079,1,1729174888836249600,0.040448,0.041216,0.552192,3117.878528,12554.662144,12575.960576,18117.926144,18882.863872
0000000080,1,1729174888936498400,0.038144,0.039168,0.51456,3077.330176,12538.0096,12558.727936,18173.830656,18784.114432
0000000100,1,1729174888952357400,0.080128,0.081408,0.695552,40.864,158.621184,179.764736,399.602176,423.908352
0000000081,1,1729174889036802000,0.054784,0.05632,0.495616,3172.264192,12502.464768,12523.63392,18194.412032,18683.667456
0000000101,1,1729174889052659200,0.16384,0.171264,0.722944,90.399232,516.04992,537.630208,919.7568,942.366464
0000000082,1,1729174889137002000,0.044544,0.045568,0.473344,3102.295552,12467.147008,12488.212736,18230.629888,18583.888384
0000000102,1,1729174889153051100,0.036352,0.037632,0.552192,242.169856,571.19744,592.623104,1093.922304,1116.187904
0000000083,1,1729174889237407000,0.032256,0.033536,0.427008,3223.012096,12656.094208,12677.161728,18263.62368,18483.419648
0000000103,1,1729174889253281000,0.03456,0.035328,0.759808,175.405568,534.024704,557.377536,1184.128256,1207.362304
0000000084,1,1729174889337632300,0.041216,0.042496,0.513024,3313.522432,12635.44448,12656.548096,18283.326976,18382.922752
0000000104,1,1729174889353409300,0.037376,0.038656,0.475648,125.257216,647.667968,668.88576,1389.286144,1412.279552
0000000085,1,1729174889437876700,0.047872,0.049152,0.498944,3352.256512,12765.176576,12786.615808,18326.66112,18349.687296
