gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729180434196098600,0.0768,0.077312,0.764928,221.175552,861.452544,882.897408,1567.809792,1591.975936
0000000001,1,1729180434296339500,0.05376,0.054784,0.519424,155.164928,848.68992,870.059008,1641.637888,1664.556544
0000000002,1,1729180434396562200,0.040704,0.041984,0.815616,81.132032,817.07392,838.38336,1838.45504,1861.236224
0000000003,1,1729180434496750600,0.101376,0.1024,0.609792,175.758848,1537.317632,1558.480128,2322.551808,2351.862272
0000000004,1,1729180434597154800,0.041984,0.043008,0.717824,106.182144,1685.472256,1706.854656,2546.217984,2571.425792
0000000005,1,1729180434697290000,0.04864,0.04992,0.563456,585.905152,2164.870656,2186.10688,3224.968192,3248.002304
0000000006,1,1729180434797565700,0.046848,0.052224,0.610304,523.796224,2383.583488,2405.138432,3472.665856,3495.982592
0000000007,1,1729180434897689600,0.091136,0.097536,0.617984,451.659776,2369.48352,2390.531328,3539.92192,3562.785024
0000000008,1,1729180434997937700,0.051968,0.052992,0.539904,383.337728,2355.014656,2376.190208,3695.722496,3718.472704
0000000009,1,1729180435098059500,0.028416,0.029184,0.472832,644.524032,2385.7088,2406.924288,4168.118016,4191.22176
0000000010,1,1729180435198158800,0.032768,0.034304,0.667136,717.275904,2395.711488,2417.00096,4438.771456,4462.021632
0000000011,1,1729180435298307600,0.0384,0.039424,0.549376,1011.667968,2747.72352,2769.029888,5006.73408,5030.011904
0000000012,1,1729180435398523600,0.050688,0.051968,0.628736,972.720896,3096.439552,3117.7024,5288.768,5311.630848
0000000013,1,1729180435498861300,0.044544,0.045568,0.563456,901.277952,3250.343424,3271.661824,5422.772992,5446.150912
0000000014,1,1729180435598887200,0.051712,0.052736,0.611072,829.38624,3324.517632,3348.012032,5665.324288,5686.893056
0000000015,1,1729180435698918000,0.0384,0.040448,1.172736,757.547008,3325.246976,3346.430208,5866.678272,5889.07136
0000000016,1,1729180435799167200,0.040448,0.041216,0.489984,736.7296,3504.134912,3525.37728,6037.291008,6060.165632
0000000017,1,1729180435899458600,0.04992,0.0512,0.6336,667.964672,3482.082816,3503.38816,6085.768192,6108.684032
0000000018,1,1729180435999657500,0.039168,0.040192,3.019776,632.487936,3673.658624,3694.907392,6478.217216,6500.816896
0000000019,1,1729180436099668700,0.043008,0.079872,0.564224,705.55904,3680.181248,3701.463552,6593.868288,6618.131968
0000000020,1,1729180436199896600,0.038912,0.040192,0.560896,693.536256,3697.182208,3718.416896,6720.219136,6742.988288
0000000021,1,1729180436300138200,0.038144,0.039424,0.507648,650.020864,3728.856064,3750.115584,6897.523968,6920.207872
0000000022,1,1729180436400253700,0.030976,0.031744,0.553216,1026.09664,4589.323008,4610.59456,7824.45824,7847.304192
0000000023,1,1729180436500484600,0.04352,0.044288,0.524032,1000.033536,4844.516352,4865.821184,8040.756992,8063.654912
0000000024,1,1729180436600760300,0.040704,0.041984,0.41344,1020.758016,5488.356352,5509.59872,8626.808832,8650.325504
0000000025,1,1729180436700830200,0.01792,0.018944,0.491776,961.326848,5515.118848,5536.380416,8770.767872,8793.435136
0000000026,1,1729180436801063700,0.037888,0.038912,0.412928,889.970688,5477.3376,5498.646528,8840.076288,8862.898944
0000000027,1,1729180436901624300,0.042496,0.04352,0.484864,1007.508736,6071.273216,6092.567808,9402.352128,9425.26336
0000000028,1,1729180437001749800,0.049664,0.050432,0.536576,948.22144,6199.534336,6220.76032,9583.209216,9606.208256
0000000029,1,1729180437101682000,0.078336,0.079616,0.601344,877.378816,6164.52352,6185.865472,9698.305536,9720.525312
0000000030,1,1729180437201871400,0.0384,0.039168,0.619008,1044.978944,6325.887744,6347.222272,10094.343168,10117.388032
0000000031,1,1729180437302030600,0.039424,0.040448,0.491264,1119.113984,6345.790208,6367.678208,10349.744128,10372.560384
0000000032,1,1729180437402265900,0.036096,0.03712,0.385792,1373.899776,6525.758976,6546.588928,10723.927552,10746.925056
0000000033,1,1729180437502369800,0.032,0.033024,0.447744,1564.25216,7117.153024,7138.53312,11271.304704,11294.087936
0000000034,1,1729180437602483500,0.036096,0.03712,0.438784,1810.339072,7345.398016,7366.803456,11606.062592,11632.33408
0000000035,1,1729180437703346200,0.051456,0.05248,0.631296,2105.842176,8113.852672,8135.184128,12090.307584,12113.635328
0000000036,1,1729180437802791200,0.043008,0.044032,0.45696,2034.761216,8101.87904,8123.044608,12144.489216,12167.433472
0000000037,1,1729180437902955500,0.039168,0.040192,0.548864,2020.368384,8150.511104,8171.819264,12285.634048,12308.48512
0000000038,1,1729180438002986000,0.0384,0.039168,0.484096,2099.486976,8591.627008,8613.036032,12492.802816,12516.075264
0000000039,1,1729180438103323100,0.035072,0.03584,0.435712,2176.26752,8770.027008,8791.326976,12694.979584,12717.798144
0000000040,1,1729180438203563800,0.047616,0.04864,0.534784,2104.843008,8747.251968,8768.364288,12740.629248,12763.140864
0000000041,1,1729180438303837000,0.045824,0.046848,0.55168,2089.231872,8800.268288,8821.467136,12878.535168,12900.381952
0000000042,1,1729180438404060200,0.042496,0.043776,0.539392,2018.350592,8946.82624,8968.304384,13036.289536,13057.470464
0000000043,1,1729180438504239600,0.045056,0.046592,0.589568,1985.7728,8940.350464,8961.732608,13071.242752,13094.22976
0000000044,1,1729180438604517400,0.037888,0.039168,0.447232,2063.838208,9140.460288,9161.871104,13359.365888,13382.835456
0000000045,1,1729180438704653600,0.052736,0.054528,0.511488,2016.875008,9136.37504,9157.362176,13417.40416,13440.239872
0000000046,1,1729180438804897500,0.035072,0.03584,0.605184,2211.697408,9418.504448,9439.762688,13751.648256,13774.566656
0000000047,1,1729180438905133600,0.040704,0.041984,0.503296,2138.93632,9427.323904,9448.67712,13810.096896,13832.833024
0000000048,1,1729180439005367600,0.040192,0.041216,0.588544,2240.306432,9456.538624,9477.66272,14096.75776,14119.343872
0000000049,1,1729180439105577700,0.040704,0.041728,0.519936,2450.875648,9479.4944,9500.9344,14292.895232,14315.92704
0000000050,1,1729180439205900800,0.040704,0.041472,0.437248,2386.94784,9646.43328,9667.63648,14462.096384,14485.311744
0000000051,1,1729180439306064600,0.036352,0.037632,0.491776,2334.775808,9617.545472,9638.840064,14657.677568,14680.407808
0000000052,1,1729180439406255900,0.032768,0.033792,0.52608,2556.557312,9612.821248,9634.02624,14767.380224,14790.05184
0000000053,1,1729180439506512400,0.03712,0.037888,0.536576,2497.657088,9714.873856,9736.197888,14900.995584,14923.911936
0000000054,1,1729180439606755000,0.04352,0.0448,0.503552,2509.793792,9714.422528,9735.146496,15035.652096,15058.895104
0000000055,1,1729180439706925800,0.042496,0.04352,0.523008,2750.569984,9793.94944,9815.434496,15418.182656,15441.970432
