gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,3,1728575754694002200,0.077568,0.0768,0.601344,116.83712,333.241088,354.95168,707.575552,731.536896
0000000100,3,1728575763946041900,0.075264,0.074752,0.538368,18.063872,79.76192,100.736512,324.029184,347.902208
0000000001,3,1728575764694295800,0.054272,0.053248,0.704768,17.518336,80.625664,101.878016,317.943808,340.837632
0000000200,3,1728575773568033000,0.155136,0.154112,0.74368,18.10048,84.868864,106.044672,323.874048,348.016384
0000000101,3,1728575773946320000,0.042496,0.041472,0.564224,16.546048,80.61312,101.756928,321.340416,344.31488
0000000002,3,1728575774694503400,0.046848,0.045824,0.73984,20.146944,80.013824,101.325568,320.705536,343.549184
0000000300,3,1728575781450345500,0.063744,0.063232,0.668672,17.816576,81.909248,103.35744,322.526208,346.854912
0000000201,3,1728575783568606000,0.054016,0.052992,0.772608,19.46624,82.533376,103.870976,324.68864,347.63648
0000000102,3,1728575783946608000,0.048128,0.046848,1.82016,19.26528,80.656384,101.92768,322.903808,343.995648
0000000003,3,1728575784694886000,0.050944,0.049664,2.809856,19.904512,81.445888,102.487808,319.576064,342.578944
0000000400,3,1728575789676050200,0.137728,0.136704,0.493824,18.375936,82.049536,108.872704,321.174016,345.214208
0000000301,3,1728575791450702600,0.161536,0.160768,0.67456,17.263104,79.372544,100.864512,322.450176,345.475584
0000000202,3,1728575793568935400,0.051968,0.050944,2.53568,20.847104,84.119552,105.3632,324.565248,347.475968
0000000103,3,1728575793946884600,0.045056,0.044032,0.621824,16.803072,81.50784,104.585984,323.993856,346.680832
0000000004,3,1728575794695105000,0.051456,0.050176,0.702976,17.292544,79.52,100.78208,318.569216,341.755392
0000000500,3,1728575798782450200,0.13696,0.135424,0.858368,19.488256,87.9424,109.404928,328.84736,353.105408
0000000401,3,1728575799676387300,0.05888,0.057856,0.734464,18.46272,80.260096,101.6384,319.500544,342.39488
0000000302,3,1728575801450942200,0.045312,0.044544,2.018304,19.350528,79.108096,100.325376,320.662528,343.169792
0000000203,3,1728575803569256200,0.04608,0.045312,0.76288,19.117056,83.561472,104.707328,322.609152,345.494272
0000000104,3,1728575803947195000,0.04224,0.041472,0.582144,18.49216,83.140352,104.406272,324.70528,347.572736
0000000005,3,1728575804695359200,0.064768,0.063744,0.764928,20.652544,83.05536,106.503936,325.186816,348.082176
0000000600,3,1728575807875185000,0.0768,0.07552,0.563712,18.244608,82.981888,103.919872,321.517568,344.954112
0000000501,3,1728575808782837800,0.132352,0.131328,0.676352,18.685184,83.463424,104.865024,333.548544,356.415488
0000000402,3,1728575809676633900,0.0448,0.043776,0.572416,20.501504,84.147712,105.255424,329.728768,352.1664
0000000303,3,1728575811450993200,0.027136,0.02688,0.286976,17.20192,79.098112,100.321536,321.894144,344.487424
0000000204,3,1728575813569491000,0.054272,0.052992,0.71808,21.15584,83.5328,104.787456,322.177536,344.750848
0000000105,3,1728575813947471000,0.041984,0.041216,0.578304,16.669952,80.442368,101.719808,320.932352,346.026496
0000000006,3,1728575814695608600,0.04736,0.046336,0.613632,18.2528,81.35552,102.52416,327.229696,349.956352
0000000700,3,1728575816004511200,0.092928,0.092416,0.557568,17.535488,80.961024,107.223808,321.18272,345.25952
0000000601,3,1728575817875566800,0.0512,0.050176,0.957184,21.300992,85.529344,106.140672,329.673984,352.569856
0000000502,3,1728575818783158800,0.04352,0.04224,0.601856,20.933632,81.616896,102.719488,328.927744,351.638784
0000000403,3,1728575819676978700,0.053248,0.05248,0.544256,18.324992,83.509504,106.4,327.450368,350.525184
0000000304,3,1728575821451184400,0.031744,0.031232,0.330496,19.568896,81.688064,102.784,323.078144,345.870848
0000000205,3,1728575823569834800,0.049152,0.047616,0.569088,18.917632,82.093312,104.392448,322.760704,345.510656
0000000106,3,1728575823947698200,0.078848,0.07808,0.52352,16.7808,78.239744,99.598848,320.534272,343.299584
0000000800,3,1728575824101171500,0.072704,0.072448,0.434944,15.470848,86.352384,107.987456,325.924096,350.127104
0000000007,3,1728575824695927000,0.048896,0.048128,0.61056,17.480192,80.657408,102.103296,329.15072,352.616192
0000000701,3,1728575826004801800,0.04992,0.04864,0.62848,18.372352,83.193344,104.528896,320.663552,343.888128
0000000602,3,1728575827875897900,0.04736,0.046336,3.085568,21.381632,83.90528,105.198848,321.682432,344.524032
0000000503,3,1728575828783285500,0.043008,0.041984,0.749824,17.174528,83.543296,104.924416,324.964864,347.85536
0000000404,3,1728575829677223000,0.04096,0.039936,0.606208,18.81344,84.324608,105.889536,327.063808,349.956864
0000000305,3,1728575831451452400,0.029952,0.02944,0.369152,17.887232,78.532096,99.610112,321.969152,344.88192
0000000900,3,1728575832987988000,0.079616,0.078848,0.53248,16.032,70.342912,91.325696,315.743744,340.671232
0000000206,3,1728575833570093600,0.040448,0.03968,0.601856,19.869952,80.919552,102.07104,321.50016,344.467968
0000000107,3,1728575833947979800,0.047616,0.046592,0.58112,17.765376,79.480576,100.804864,322.297344,345.050368
0000000801,3,1728575834101481700,0.020992,0.02048,0.36608,15.648768,88.912896,110.335744,336.069888,358.77248
0000000008,3,1728575834696170200,0.041472,0.040448,0.752896,19.142656,82.528512,103.631872,324.751104,347.678464
0000000702,3,1728575836005033000,0.049408,0.048384,0.65152,21.580544,84.564224,106.193408,331.146496,354.441472
0000000603,3,1728575837876160300,0.050432,0.049408,0.833792,20.002304,84.493568,105.90208,329.011968,351.96928
0000000504,3,1728575838783561500,0.048384,0.046592,0.737536,19.077632,85.14176,106.498816,326.654976,350.684672
0000000405,3,1728575839677542400,0.05888,0.057344,2.08,20.323072,84.56704,105.848832,327.481856,350.319616
0000001000,3,1728575841261926100,0.08448,0.083968,0.489984,18.988544,88.398848,109.552384,327.449344,351.305472
0000000306,3,1728575841451554300,0.034816,0.034304,1.628416,18.271488,79.95904,102.474752,319.995904,342.821376
0000000901,3,1728575842988241200,0.060672,0.058368,0.731904,19.749376,86.632448,107.891712,329.353984,352.300544
0000000207,3,1728575843570448400,0.04864,0.047616,0.757248,17.72544,81.492736,102.626816,321.58208,344.537344
0000000108,3,1728575843948219400,0.045824,0.045056,0.798976,16.931328,81.08544,102.263808,319.97824,342.816256
0000000802,3,1728575844101799400,0.04608,0.0448,1.271552,17.374208,79.50208,100.759296,319.106816,342.163968
0000000009,3,1728575844696572000,0.0512,0.050176,0.761344,18.482688,74.914048,95.782912,316.44672,339.813376
0000000703,3,1728575846005291800,0.042496,0.041472,2.338816,20.361984,84.676352,105.84704,328.272128,351.481856
0000000604,3,1728575847876382200,0.041728,0.040704,0.507904,19.762944,86.586112,107.880192,331.972352,355.023616
0000000505,3,1728575848783975000,0.046592,0.045568,0.576,18.706432,82.022144,103.369728,325.06496,347.954176
0000000406,3,1728575849677815600,0.04608,0.0448,0.626176,19.291136,86.104064,107.249664,329.072128,352.726272
0000001100,3,1728575849784978000,0.214784,0.213248,0.894464,15.451648,78.045952,104.436736,314.322432,338.39104
0000001001,3,1728575851262069500,0.029184,0.028672,0.365568,18.354944,85.841664,106.716672,326.412288,349.137664
0000000307,3,1728575851451850200,0.036096,0.035328,0.370688,16.097024,74.369536,95.610368,313.084928,335.973632
0000000902,3,1728575852988355300,0.048896,0.047872,3.241472,21.689088,82.130432,105.429248,324.831232,347.849984
0000000208,3,1728575853570818000,0.09856,0.097024,2.738176,19.9552,89.782784,111.038976,334.944,357.84448
0000000109,3,1728575853948528600,0.04736,0.046592,0.555776,17.530368,77.990656,99.121664,323.328512,347.159296
0000000803,3,1728575854102110000,0.042496,0.041472,0.484096,16.482048,81.30944,103.5072,325.997568,348.440064
0000000010,3,1728575854696900600,0.058624,0.0576,1.118976,19.302144,84,105.308928,325.803776,350.062336
0000000704,3,1728575856005592000,0.055296,0.054016,0.676864,19.427072,86.283776,107.471616,326.808064,349.686784
0000000605,3,1728575857876678000,0.10368,0.1024,0.605952,20.179968,89.222912,110.468864,333.122816,355.958784
0000001200,3,1728575858473025300,0.148224,0.14592,0.861952,16.220928,81.092608,102.870784,324.073472,348.3904
0000000506,3,1728575858784166000,0.047616,0.046592,0.521216,16.315392,80.134656,101.019648,319.208192,342.793472
0000000407,3,1728575859678116400,0.044288,0.043008,0.6528,18.470144,83.902464,105.191168,327.916288,351.195648
0000001101,3,1728575859785222000,0.04608,0.044544,0.545536,16.649472,85.332224,109.08416,322.843648,345.037312
0000001002,3,1728575861262294800,0.026368,0.025856,0.455168,19.651072,84.267264,105.57952,327.782144,351.040256
0000000308,3,1728575861451972000,0.039424,0.038656,0.42112,13.57312,69.79712,91.147008,309.736192,332.186624
0000000903,3,1728575862988590600,0.035584,0.030976,0.400384,23.81824,87.32544,109.990912,327.374848,349.747456
0000000209,3,1728575863571113200,0.048384,0.047104,0.484352,17.694464,82.141184,103.3792,320.899072,343.808768
0000000110,3,1728575863948832800,0.038912,0.038144,0.444416,16.162304,79.03744,100.599296,320.174592,342.979584
0000000804,3,1728575864102354200,0.051456,0.04992,0.74112,18.287104,81.117696,104.485632,321.544704,344.317184
0000000011,3,1728575864697143800,0.045824,0.0448,0.751872,17.950976,79.90528,101.201664,323.316736,346.289152
0000000705,3,1728575866005792000,0.041216,0.040704,0.429568,21.856256,88.224256,109.561344,331.65824,354.808064
0000001300,3,1728575867532038000,0.045056,0.044544,0.809216,14.074624,69.252864,95.818496,316.9792,341.190912
0000000606,3,1728575867876906500,0.040704,0.039936,0.587264,18.899712,82.526464,103.945728,323.515392,346.302208
0000001201,3,1728575868473265700,0.046336,0.045056,0.610816,19.005184,87.330048,108.55424,327.371264,350.288384
0000000507,3,1728575868784316400,0.045312,0.044544,0.68608,25.70496,88.02816,110.720256,332.035328,354.963456
0000000408,3,1728575869678482000,0.051712,0.050176,1.376768,18.95424,81.56288,103.01056,317.647616,340.613888
