gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,3,1728414579925656800,0.233728,0.232192,0.745216,118.566144,334.901504,357.245184,704.813568,728.833024
0000000100,3,1728414589098318800,0.111616,0.111104,0.813568,20.75904,80.335104,105.53216,323.83616,348.072448
0000000200,3,1728414598259905000,0.066816,0.066304,0.548864,18.319872,81.878784,109.130496,330.23488,354.315776
0000000300,3,1728414607226814500,0.079104,0.078336,0.530176,18.490624,85.221888,107.484672,332.77824,356.815616
0000000400,3,1728414616501684000,0.074496,0.073728,0.615424,18.422272,83.53152,105.796096,326.648832,350.85568
0000000500,3,1728414624738495200,0.161024,0.159232,0.848896,18.92352,82.73152,103.96032,324.559616,348.63616
0000000001,3,1728414631125983700,0.045568,0.044544,0.65792,19.676672,81.264128,102.213632,319.222784,342.320896
0000000600,3,1728414632797202000,0.066304,0.066048,0.41984,18.108672,80.997888,109.078272,318.41408,346.528
0000000101,3,1728414640298558000,0.077568,0.076544,0.783616,21.3056,89.011456,110.478592,330.467328,353.471232
0000000700,3,1728414641875560200,0.085504,0.084992,0.708864,18.58816,81.045504,102.253824,330.402048,354.31808
0000000201,3,1728414649460204800,0.048128,0.046592,0.687872,19.404032,85.769728,107.109632,331.140864,367.43552
0000000800,3,1728414649938983000,0.070144,0.069376,0.4864,17.378304,79.098368,105.318912,324.589568,348.567808
0000000900,3,1728414657967994000,0.065792,0.064768,0.715008,22.996224,85.154304,109.405952,326.612224,350.84032
0000000301,3,1728414658427214000,0.053248,0.051968,0.85632,17.625088,82.723584,103.963648,321.399552,343.685376
0000001000,3,1728414666027687400,0.219392,0.21888,0.705536,18.99776,82.1376,103.085568,321.488896,345.900288
0000000401,3,1728414667701954300,0.04224,0.040704,0.585984,19.269632,84.699136,105.937664,326.611968,349.406208
0000001100,3,1728414674329749800,0.036096,0.035584,0.552448,18.574336,84.136448,105.136896,325.86496,349.876224
0000000501,3,1728414675939164200,0.059136,0.057856,0.652544,19.789824,86.035456,107.260416,333.63456,356.440064
0000001200,3,1728414682258984700,0.13312,0.132096,0.585472,18.516992,84.189952,110.075904,323.594496,348.03712
0000000002,3,1728414682326205000,0.038912,0.037888,0.48896,18.222336,78.64448,99.963136,316.431104,341.084672
0000000601,3,1728414683997410600,0.028672,0.02816,0.721152,18.025984,79.908608,102.533376,320.150272,343.24736
0000001300,3,1728414690358267000,0.05248,0.052224,0.552704,18.063616,84.634368,106.202368,329.361408,354.646016
0000000102,3,1728414691498678800,0.025344,0.024832,0.708864,18.110464,78.299904,99.513856,322.545408,344.959488
0000000701,3,1728414693075837000,0.030208,0.029952,0.34176,18.857216,85.254912,106.548736,329.44256,352.436992
0000001400,3,1728414699553928400,0.11648,0.115968,0.878848,19.179776,86.215168,111.71328,331.417856,355.870464
0000000202,3,1728414700660485000,0.051968,0.050944,0.60544,19.775488,84.40704,105.724416,329.7664,354.59584
0000000801,3,1728414701139156000,0.041216,0.039936,0.68352,18.528512,80.624896,101.355776,325.274112,347.58272
0000001500,3,1728414707521314300,0.102144,0.100864,1.071104,19.802368,71.210752,96.35456,319.634176,343.707136
0000000901,3,1728414709168444200,0.050432,0.049408,0.70784,25.609984,92.855808,113.914368,335.488256,358.215168
0000000302,3,1728414709627371800,0.052736,0.051456,2.571264,17.91488,79.541504,100.628224,323.120384,344.950528
0000001600,3,1728414715566047200,0.062976,0.061952,0.535808,18.699008,87.483648,108.82688,327.750656,352.416256
0000001001,3,1728414717227950000,0.04864,0.047616,0.799744,20.014848,86.815744,108.372736,327.382528,350.048768
0000000402,3,1728414718902233900,0.060672,0.059648,0.617984,21.828608,85.72928,106.862848,327.584,351.358208
