gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,3,1728418052559853000,0.194048,0.19584,0.633088,140.291584,358.814464,380.692736,781.534208,806.431232
0000000100,3,1728418060541501400,0.079872,0.080384,0.693248,17.880832,78.1888,99.552768,320.643584,343.926272
0000000200,3,1728418068898840000,0.096512,0.097792,0.568064,19.224832,81.539072,102.775552,324.287232,348.213504
0000000300,3,1728418077768932000,0.072704,0.073984,0.513024,18.887424,83.929856,105.710848,325.314048,349.305088
0000000400,3,1728418085854755000,0.124672,0.125696,0.630272,18.19008,79.450624,100.991488,318.701056,342.836224
0000000500,3,1728418094140979200,0.057344,0.057856,0.539136,19.214336,89.77792,111.405312,328.511488,352.58368
0000000600,3,1728418102513090300,0.045312,0.04608,0.403712,18.940416,84.76416,110.940416,325.870848,350.14656
0000000001,3,1728418103760235000,0.067072,0.06784,0.68352,19.309312,85.41568,106.603008,324.734976,347.795456
0000000700,3,1728418111250628000,0.082432,0.082944,0.75648,19.223296,84.2496,110.440448,323.111936,347.67744
0000000101,3,1728418111741846300,0.047616,0.048896,0.729344,17.741056,81.1776,102.382592,318.41408,341.102592
0000000800,3,1728418119976211700,0.058368,0.059136,0.721664,18.538752,81.076736,102.655744,324.446208,348.767488
0000000201,3,1728418120099016200,0.045568,0.045824,0.282112,16.066816,79.353088,100.537344,319.447552,342.18112
0000000301,3,1728418128969108700,0.069376,0.0704,0.563456,20.375552,87.99488,109.374464,332.08448,355.378432
0000000900,3,1728418129474173700,0.08576,0.086272,0.504832,14.984192,78.89408,100.666368,324.311552,348.333824
0000000401,3,1728418137055164700,0.052736,0.054272,0.748544,20.02432,87.218432,108.543232,328.296192,351.24352
0000001000,3,1728418137551139800,0.119296,0.12032,0.617216,16.674816,86.646016,108.653824,328.29824,352.251648
